,Name,runs_2017,ballsfaced_2017,fours_2017,sixes_2017,strikeRate_2017
0,Ruturaj Gaikwad,0,0,0,0,0
1,Faf du Plessis,0,0,0,0,0
2,Robin Uthappa,0,0,0,0,0
3,Moeen Ali,0,0,0,0,0
4,Shubman Gill,0,0,0,0,0
5,Venkatesh Iyer,0,0,0,0,0
6,Nitish Rana,0,0,0,0,0
7,Sunil Narine,0,0,0,0,0
8,Eoin Morgan,0,0,0,0,0
9,Dinesh Karthik,0,0,0,0,0
10,Shakib Al Hasan,0,0,0,0,0
11,Rahul Tripathi,0,0,0,0,0
12,Lockie Ferguson,0,0,0,0,0
13,Shivam Mavi,0,0,0,0,0
14,Varun Chakravarthy,0,0,0,0,0
15,Prithvi Shaw,0,0,0,0,0
16,Shikhar Dhawan,0,0,0,0,0
17,Marcus Stoinis,0,0,0,0,0
18,Shreyas Iyer,0,0,0,0,0
19,Rishabh Pant,0,0,0,0,0
20,Shimron Hetmyer,0,0,0,0,0
21,Axar Patel,0,0,0,0,0
22,Devdutt Padikkal,0,0,0,0,0
23,Virat Kohli,0,0,0,0,0
24,Srikar Bharat,0,0,0,0,0
25,Glenn Maxwell,0,0,0,0,0
26,AB de Villiers,0,0,0,0,0
27,Shahbaz Ahmed,0,0,0,0,0
28,Dan Christian,0,0,0,0,0
29,Harshal Patel,0,0,0,0,0
30,George Garton,0,0,0,0,0
31,Tom Curran,0,0,0,0,0
32,Shardul Thakur,0,0,0,0,0
33,Ambati Rayudu,0,0,0,0,0
34,MS Dhoni,0,0,0,0,0
35,Ravindra Jadeja,0,0,0,0,0
36,Ripal Patel,0,0,0,0,0
37,Rohit Sharma,0,0,0,0,0
38,Ishan Kishan,0,0,0,0,0
39,Hardik Pandya,0,0,0,0,0
40,Kieron Pollard,0,0,0,0,0
41,Suryakumar Yadav,0,0,0,0,0
42,James Neesham,0,0,0,0,0
43,Krunal Pandya,0,0,0,0,0
44,Nathan Coulter-Nile,0,0,0,0,0
45,Piyush Chawla,0,0,0,0,0
46,Jasprit Bumrah,0,0,0,0,0
47,Trent Boult,0,0,0,0,0
48,Jason Roy,0,0,0,0,0
49,Abhishek Sharma,0,0,0,0,0
50,Manish Pandey,0,0,0,0,0
51,Mohammad Nabi,0,0,0,0,0
52,Abdul Samad,0,0,0,0,0
53,Priyam Garg,0,0,0,0,0
54,Jason Holder,0,0,0,0,0
55,Rashid Khan,0,0,0,0,0
56,Wriddhiman Saha,0,0,0,0,0
57,Siddarth Kaul,0,0,0,0,0
58,Yashasvi Jaiswal,0,0,0,0,0
59,Liam Livingstone,0,0,0,0,0
60,Sanju Samson,0,0,0,0,0
61,Shivam Dube,0,0,0,0,0
62,Anuj Rawat,0,0,0,0,0
63,Glenn Phillips,0,0,0,0,0
64,Rahul Tewatia,0,0,0,0,0
65,Chris Morris,0,0,0,0,0
66,Jaydev Unadkat,0,0,0,0,0
67,Chetan Sakariya,0,0,0,0,0
68,Mustafizur Rahman,0,0,0,0,0
69,Dwayne Bravo,0,0,0,0,0
70,KL Rahul,0,0,0,0,0
71,Mayank Agarwal,0,0,0,0,0
72,Sarfaraz Khan,0,0,0,0,0
73,M Shahrukh Khan,0,0,0,0,0
74,Aiden Markram,0,0,0,0,0
75,Moises Henriques,0,0,0,0,0
76,Kane Williamson,0,0,0,0,0
77,Evin Lewis,0,0,0,0,0
78,David Miller,0,0,0,0,0
79,Shreyas Gopal,0,0,0,0,0
80,Kuldip Yadav,0,0,0,0,0
81,Ravichandran Ashwin,0,0,0,0,0
82,Kagiso Rabada,0,0,0,0,0
83,Bhuvneshwar Kumar,0,0,0,0,0
84,Nicholas Pooran,0,0,0,0,0
85,Harpreet Brar,0,0,0,0,0
86,Suresh Raina,0,0,0,0,0
87,Quinton de Kock,0,0,0,0,0
88,Saurabh Tiwary,0,0,0,0,0
89,Jayant Yadav,0,0,0,0,0
90,Steven Smith,0,0,0,0,0
91,Tim Seifert,0,0,0,0,0
92,Deepak Hooda,0,0,0,0,0
93,Fabian Allen,0,0,0,0,0
94,Mahipal Lomror,0,0,0,0,0
95,Riyan Parag,0,0,0,0,0
96,Kartik Tyagi,0,0,0,0,0
97,Mandeep Singh,0,0,0,0,0
98,Chris Gayle,0,0,0,0,0
99,Nathan Ellis,0,0,0,0,0
100,Lalit Yadav,0,0,0,0,0
101,Avesh Khan,0,0,0,0,0
102,Tim Southee,0,0,0,0,0
103,Kyle Jamieson,0,0,0,0,0
104,Adam Milne,0,0,0,0,0
105,Rahul Chahar,0,0,0,0,0
106,Andre Russell,0,0,0,0,0
107,Sam Curran,0,0,0,0,0
108,Deepak Chahar,0,0,0,0,0
109,Mohammed Shami,0,0,0,0,0
110,David Warner,0,0,0,0,0
111,Kedar Jadhav,0,0,0,0,0
112,Tabraiz Shamsi,0,0,0,0,0
113,Tim David,0,0,0,0,0
114,Wanindu Hasaranga de Silva,0,0,0,0,0
115,Sandeep Sharma,0,0,0,0,0
116,Sachin Baby,0,0,0,0,0
117,Mohammed Siraj,0,0,0,0,0
118,Yuzvendra Chahal,0,0,0,0,0
119,Anmolpreet Singh,0,0,0,0,0
120,Prabhsimran Singh,0,0,0,0,0
121,Dawid Malan,0,0,0,0,0
122,Chris Jordan,0,0,0,0,0
123,Jos Buttler,0,0,0,0,0
124,Jonny Bairstow,0,0,0,0,0
125,Vijay Shankar,0,0,0,0,0
126,Dhawal Kulkarni,0,0,0,0,0
127,Rajat Patidar,0,0,0,0,0
128,Daniel Sams,0,0,0,0,0
129,Pat Cummins,0,0,0,0,0
130,Washington Sundar,0,0,0,0,0
131,Ravi Bishnoi,0,0,0,0,0
132,Arshdeep Singh,0,0,0,0,0
133,Virat Singh,0,0,0,0,0
134,Jagadeesha Suchith,0,0,0,0,0
135,Navdeep Saini,0,0,0,0,0
136,Prasidh Krishna,0,0,0,0,0
137,Manan Vohra,0,0,0,0,0
138,Kamlesh Nagarkoti,0,0,0,0,0
139,Murugan Ashwin,0,0,0,0,0
140,Harbhajan Singh,0,0,0,0,0
141,Mujeeb Ur Rahman,0,0,0,0,0
142,Khaleel Ahmed,0,0,0,0,0
143,Jhye Richardson,0,0,0,0,0
144,Riley Meredith,0,0,0,0,0
145,Ajinkya Rahane,0,0,0,0,0
146,Chris Woakes,0,0,0,0,0
147,Shahbaz Nadeem,0,0,0,0,0
148,T Natarajan,0,0,0,0,0
149,Marco Jansen,0,0,0,0,0
150,Ben Stokes,0,0,0,0,0
151,Chris Lynn,0,0,0,0,0
152,James Pattinson,0,0,0,0,0
153,Murali Vijay,0,0,0,0,0
154,Shane Watson,0,0,0,0,0
155,Anrich Nortje,0,0,0,0,0
156,Karun Nair,0,0,0,0,0
157,Krishnappa Gowtham,0,0,0,0,0
158,Aaron Finch,0,0,0,0,0
159,Josh Philippe,0,0,0,0,0
160,Mitchell Marsh,0,0,0,0,0
161,Jofra Archer,0,0,0,0,0
162,Nikhil Naik,0,0,0,0,0
163,Kuldeep Yadav,0,0,0,0,0
164,Umesh Yadav,0,0,0,0,0
165,Dale Steyn,0,0,0,0,0
166,Ankit Rajpoot,0,0,0,0,0
167,Isuru Udana,0,0,0,0,0
168,Sheldon Cottrell,0,0,0,0,0
169,Andrew Tye,0,0,0,0,0
170,Varun Aaron,0,0,0,0,0
171,Narayan Jagadeesan,0,0,0,0,0
172,Alex Carey,0,0,0,0,0
173,Tom Banton,0,0,0,0,0
174,Gurkeerat Singh Mann,0,0,0,0,0
175,Imran Tahir,0,0,0,0,0
176,Tushar Deshpande,0,0,0,0,0
177,Rinku Singh,0,0,0,0,0
178,Praveen Dubey,0,0,0,0,0
179,Shreevats Goswami,0,0,0,0,0
180,Parthiv Patel,0,0,0,0,0
181,Colin de Grandhomme,0,0,0,0,0
182,Yusuf Pathan,0,0,0,0,0
183,Colin Ingram,0,0,0,0,0
184,Keemo Paul,0,0,0,0,0
185,Yuvraj Singh,0,0,0,0,0
186,Ben Cutting,0,0,0,0,0
187,Mitchell McClenaghan,0,0,0,0,0
188,Rasikh Salam,0,0,0,0,0
189,Mayank Markande,0,0,0,0,0
