,Name,runs,balls,fours,sixes,sr
0,Ruturaj Gaikwad,0.0,0.0,0.0,0.0,0.0
1,Faf du Plessis,396.0,321.0,36.0,15.0,123.3644859813084
2,Robin Uthappa,282.0,245.0,28.0,10.0,115.10204081632654
3,Moeen Ali,220.0,133.0,16.0,17.0,165.41353383458647
4,Shubman Gill,296.0,238.0,21.0,10.0,124.36974789915966
5,Venkatesh Iyer,0.0,0.0,0.0,0.0,0.0
6,Nitish Rana,344.0,235.0,27.0,21.0,146.38297872340425
7,Sunil Narine,143.0,86.0,17.0,9.0,166.27906976744185
8,Eoin Morgan,0.0,0.0,0.0,0.0,0.0
9,Dinesh Karthik,253.0,173.0,22.0,14.0,146.242774566474
10,Shakib Al Hasan,9.0,10.0,0.0,0.0,90.0
11,Rahul Tripathi,141.0,118.0,13.0,2.0,119.49152542372882
12,Lockie Ferguson,0.0,0.0,0.0,0.0,0.0
13,Shivam Mavi,0.0,0.0,0.0,0.0,0.0
14,Varun Chakravarthy,0.0,0.0,0.0,0.0,0.0
15,Prithvi Shaw,353.0,264.0,45.0,9.0,133.71212121212122
16,Shikhar Dhawan,521.0,384.0,64.0,11.0,135.67708333333334
17,Marcus Stoinis,211.0,156.0,14.0,10.0,135.25641025641025
18,Shreyas Iyer,463.0,386.0,41.0,14.0,119.94818652849742
19,Rishabh Pant,488.0,300.0,37.0,27.0,162.66666666666666
20,Shimron Hetmyer,90.0,73.0,4.0,7.0,123.28767123287672
21,Axar Patel,110.0,88.0,10.0,3.0,125.0
22,Devdutt Padikkal,0.0,0.0,0.0,0.0,0.0
23,Virat Kohli,464.0,328.0,46.0,13.0,141.46341463414635
24,Srikar Bharat,0.0,0.0,0.0,0.0,0.0
25,Glenn Maxwell,0.0,0.0,0.0,0.0,0.0
26,AB de Villiers,442.0,287.0,31.0,26.0,154.00696864111498
27,Shahbaz Ahmed,0.0,0.0,0.0,0.0,0.0
28,Dan Christian,0.0,0.0,0.0,0.0,0.0
29,Harshal Patel,0.0,2.0,0.0,0.0,0.0
30,George Garton,0.0,0.0,0.0,0.0,0.0
31,Tom Curran,0.0,0.0,0.0,0.0,0.0
32,Shardul Thakur,14.0,7.0,1.0,1.0,200.0
33,Ambati Rayudu,282.0,303.0,20.0,7.0,93.06930693069307
34,MS Dhoni,416.0,309.0,22.0,23.0,134.62783171521036
35,Ravindra Jadeja,106.0,88.0,7.0,4.0,120.45454545454545
36,Ripal Patel,0.0,0.0,0.0,0.0,0.0
37,Rohit Sharma,405.0,315.0,52.0,10.0,128.57142857142858
38,Ishan Kishan,101.0,100.0,8.0,4.0,101.0
39,Hardik Pandya,402.0,210.0,28.0,29.0,191.42857142857142
40,Kieron Pollard,279.0,178.0,14.0,22.0,156.74157303370785
41,Suryakumar Yadav,424.0,324.0,45.0,10.0,130.8641975308642
42,James Neesham,0.0,0.0,0.0,0.0,0.0
43,Krunal Pandya,183.0,150.0,18.0,5.0,122.0
44,Nathan Coulter-Nile,0.0,0.0,0.0,0.0,0.0
45,Piyush Chawla,42.0,37.0,4.0,2.0,113.51351351351352
46,Jasprit Bumrah,,,,,
47,Trent Boult,7.0,4.0,0.0,1.0,175.0
48,Jason Roy,0.0,0.0,0.0,0.0,0.0
