,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
0,Shakib Al Hasan,57.0,0,456,14,98
1,Shivam Mavi,28.0,0,270,5,64
2,Lockie Ferguson,0.0,0,0,0,0
3,Varun Chakravarthy,0.0,0,0,0,0
4,Sunil Narine,61.0,0,467,17,137
5,Venkatesh Iyer,0.0,0,0,0,0
6,Deepak Chahar,38.1,1,278,10,117
7,Josh Hazlewood,0.0,0,0,0,0
8,Shardul Thakur,46.4,1,431,16,113
9,Dwayne Bravo,52.9,1,533,14,90
10,Ravindra Jadeja,41.0,0,303,11,82
11,Anrich Nortje,0.0,0,0,0,0
12,Ravichandran Ashwin,50.4,0,410,10,77
13,Avesh Khan,19.0,0,204,4,44
14,Axar Patel,26.0,0,218,3,41
15,Kagiso Rabada,0.0,0,0,0,0
16,Mohammed Siraj,41.0,0,367,11,90
17,George Garton,0.0,0,0,0,0
18,Harshal Patel,17.3,0,167,7,36
19,Yuzvendra Chahal,50.0,1,363,12,128
20,Glenn Maxwell,16.0,0,132,5,32
21,Dan Christian,0.0,0,0,0,0
22,Moeen Ali,13.1,0,97,3,27
23,Tom Curran,10.1,0,118,6,15
24,Ripal Patel,0.0,0,0,0,0
25,Mohammad Nabi,5.0,0,47,1,12
26,Siddarth Kaul,66.0,0,547,21,131
27,Jason Holder,0.0,0,0,0,0
28,Umran Malik,0.0,0,0,0,0
29,Rashid Khan,68.0,2,458,21,167
30,Abhishek Sharma,0.0,0,0,0,0
31,Trent Boult,52.0,1,466,18,118
32,Jasprit Bumrah,54.0,0,372,17,133
33,Piyush Chawla,49.0,0,412,14,110
34,Nathan Coulter-Nile,0.0,0,0,0,0
35,James Neesham,0.0,0,0,0,0
36,Krunal Pandya,40.1,0,284,12,85
37,Jaydev Unadkat,50.2,0,486,11,97
38,Chris Morris,14.0,0,143,3,31
39,Chetan Sakariya,0.0,0,0,0,0
40,Mustafizur Rahman,26.9,0,230,7,59
41,Shivam Dube,0.0,0,0,0,0
42,Rahul Tewatia,22.0,0,173,6,41
43,Glenn Phillips,0.0,0,0,0,0
44,Mohammed Shami,13.5,0,144,3,28
45,Harpreet Brar,0.0,0,0,0,0
46,Arshdeep Singh,0.0,0,0,0,0
47,Chris Jordan,4.0,0,31,0,11
48,Ravi Bishnoi,0.0,0,0,0,0
49,Moises Henriques,0.0,0,0,0,0
50,Shahbaz Ahmed,0.0,0,0,0,0
51,Bhuvneshwar Kumar,46.1,1,354,9,124
52,Jayant Yadav,0.0,0,0,0,0
53,Kieron Pollard,0.0,0,0,0,0
54,Shreyas Gopal,31.0,0,236,11,69
55,Kuldip Yadav,0.0,0,0,0,0
56,Tim Southee,29.0,0,261,5,59
57,Aiden Markram,0.0,0,0,0,0
58,Akash Singh,0.0,0,0,0,0
59,Mayank Markande,44.0,0,368,15,87
60,Sam Curran,0.0,0,0,0,0
61,KM Asif,6.0,0,75,3,16
62,Fabian Allen,0.0,0,0,0,0
63,Nathan Ellis,0.0,0,0,0,0
64,Nitish Rana,6.1,0,44,4,17
65,Sandeep Sharma,44.0,0,333,12,116
66,Kartik Tyagi,0.0,0,0,0,0
67,Mahipal Lomror,3.0,0,27,0,2
68,Riyan Parag,0.0,0,0,0,0
69,Rahul Chahar,0.0,0,0,0,0
70,Sandeep Warrier,0.0,0,0,0,0
71,Lalit Yadav,0.0,0,0,0,0
72,Adam Milne,0.0,0,0,0,0
73,Kyle Jamieson,0.0,0,0,0,0
74,Prasidh Krishna,28.0,0,260,10,60
75,Andre Russell,37.5,0,355,13,76
76,Khaleel Ahmed,3.0,0,38,0,7
77,Abdul Samad,0.0,0,0,0,0
78,Tabraiz Shamsi,0.0,0,0,0,0
79,Navdeep Saini,0.0,0,0,0,0
80,Wanindu Hasaranga de Silva,0.0,0,0,0,0
81,Rohit Sharma,0.0,0,0,0,0
82,Marcus Stoinis,11.0,0,120,3,15
83,Ishan Porel,0.0,0,0,0,0
84,Deepak Hooda,3.0,0,24,0,6
85,Adil Rashid,0.0,0,0,0,0
86,Ishant Sharma,0.0,0,0,0,0
87,Riley Meredith,0.0,0,0,0,0
88,Vijay Shankar,5.0,0,58,1,8
89,Dhawal Kulkarni,19.5,0,188,4,54
90,Lungi Ngidi,26.0,2,156,11,79
91,Daniel Sams,0.0,0,0,0,0
92,Pat Cummins,0.0,0,0,0,0
93,Jagadeesha Suchith,0.0,0,0,0,0
94,Amit Mishra,37.0,1,264,12,74
95,Washington Sundar,20.0,0,192,4,29
96,Imran Tahir,20.4,0,188,6,40
97,Kane Richardson,0.0,0,0,0,0
98,Kamlesh Nagarkoti,0.0,0,0,0,0
99,Murugan Ashwin,7.0,0,53,3,20
100,Chris Woakes,18.2,0,190,8,47
101,Lukman Meriwala,0.0,0,0,0,0
102,Jalaj Saxena,0.0,0,0,0,0
103,Jhye Richardson,0.0,0,0,0,0
104,Harbhajan Singh,31.5,0,270,7,68
105,Mujeeb Ur Rahman,41.2,0,289,14,93
106,Shahbaz Nadeem,15.0,0,161,3,21
107,T Natarajan,0.0,0,0,0,0
108,Marco Jansen,0.0,0,0,0,0
109,Ben Stokes,37.0,1,303,8,77
110,James Pattinson,0.0,0,0,0,0
111,Sheldon Cottrell,0.0,0,0,0,0
112,Krishnappa Gowtham,40.0,0,312,11,90
113,Mohit Sharma,29.400000000000002,0,322,7,50
114,Mitchell Marsh,0.0,0,0,0,0
115,Dale Steyn,0.0,0,0,0,0
116,Umesh Yadav,53.1,1,418,20,148
117,Jofra Archer,38.5,0,325,15,97
118,Kuldeep Yadav,51.2,0,418,17,94
119,Ankit Rajpoot,26.1,1,223,11,80
120,Isuru Udana,0.0,0,0,0,0
121,Adam Zampa,0.0,0,0,0,0
122,Kane Williamson,0.0,0,0,0,0
123,Karn Sharma,9.3,0,89,4,16
124,Varun Aaron,0.0,0,0,0,0
125,Andrew Tye,56.0,0,448,24,116
126,Tushar Deshpande,0.0,0,0,0,0
127,Chris Green,0.0,0,0,0,0
128,Basil Thampi,9.7,0,114,5,17
129,Monu Kumar,0.0,0,0,0,0
130,Mitchell Santner,0.0,0,0,0,0
131,David Warner,0.0,0,0,0,0
132,Praveen Dubey,0.0,0,0,0,0
133,Chris Gayle,0.0,0,0,0,0
134,Suresh Raina,0.0,0,0,0,0
135,Rasikh Salam,0.0,0,0,0,0
136,Mitchell McClenaghan,40.0,0,332,14,103
137,Hardik Pandya,42.4,0,381,18,98
138,Ben Cutting,17.0,0,168,2,24
139,Keemo Paul,0.0,0,0,0,0
140,Hardus Viljoen,0.0,0,0,0,0
141,Mandeep Singh,0.0,0,0,0,0
142,Colin de Grandhomme,15.0,0,129,2,26
143,Lasith Malinga,0.0,0,0,0,0
144,Sandeep Lamichhane,12.0,0,82,5,30
145,Prayas Ray Barman,0.0,0,0,0,0
146,Hanuma Vihari,0.0,0,0,0,0
147,Stuart Binny,2.0,0,33,0,2
148,Jason Behrendorff,0.0,0,0,0,0
149,Pawan Negi,4.0,0,49,1,9
150,Scott Kuggeleijn,0.0,0,0,0,0
151,Yusuf Pathan,2.0,0,14,1,2
152,Alzarri Joseph,0.0,0,0,0,0
153,Harry Gurney,0.0,0,0,0,0
154,Sudhesan Midhun,0.0,0,0,0,0
155,Carlos Brathwaite,9.7,0,94,5,23
156,Liam Livingstone,0.0,0,0,0,0
157,Sarfaraz Khan,0.0,0,0,0,0
158,Ish Sodhi,23.0,0,135,5,51
159,Sherfane Rutherford,0.0,0,0,0,0
160,Prithvi Raj,0.0,0,0,0,0
161,KC Cariappa,0.0,0,0,0,0
162,Oshane Thomas,0.0,0,0,0,0
163,Anukul Roy,0.0,0,0,0,0
164,Barinder Sran,22.0,0,229,4,47
165,Kulwant Khejroliya,10.5,0,107,2,18
166,Shane Watson,28.0,0,251,6,57
167,Mark Wood,4.0,0,49,0,6
168,Daniel Christian,11.5,0,101,4,22
169,Vinay Kumar,3.5,0,65,2,8
170,Mitchell Johnson,21.0,0,216,2,46
171,Billy Stanlake,16.0,0,130,5,47
172,Ben Laughlin,20.5,0,211,9,34
173,D'Arcy Short,3.0,0,19,1,8
174,Pradeep Sangwan,2.0,0,19,0,5
175,Akila Dananjaya,4.0,0,47,0,6
176,Yuvraj Singh,2.0,0,23,0,0
177,Corey Anderson,8.4,0,115,3,16
178,Liam Plunkett,25.0,0,225,4,42
179,Manoj Tiwary,1.0,0,10,0,0
180,Jean-Paul Duminy,3.0,0,36,0,6
181,David Willey,10.0,0,95,2,20
182,Anureet Singh,4.0,0,42,1,4
183,Ankit Sharma,1.0,0,11,0,1
184,Javon Searles,7.0,0,89,2,7
185,Junior Dala,3.0,0,34,0,7
186,Tymal Mills,0.0,0,0,0,0
187,Aniket Choudhary,0.0,0,0,0,0
188,Sreenath Aravind,0.0,0,0,0,0
189,Travis Head,0.0,0,0,0,0
190,Ashish Nehra,0.0,0,0,0,0
191,Bipul Sharma,0.0,0,0,0,0
192,Ashok Dinda,0.0,0,0,0,0
