season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2022.0,1304069,MI v PBKS,MI,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",Pune,India,1,Basil Thampi,Basil Thampi,4,0,47,2,11.75,7,3,3,2,0,False,https://www.espncricinfo.com/ci/content/player/732291.html
2022.0,1304069,MI v PBKS,MI,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",Pune,India,1,JD Unadkat,Jaydev Unadkat,4,0,44,1,11.00,8,3,3,1,0,False,https://www.espncricinfo.com/ci/content/player/390484.html
2022.0,1304069,MI v PBKS,MI,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",Pune,India,1,JJ Bumrah,Jasprit Bumrah,4,0,28,1,7.00,6,2,0,2,0,False,https://www.espncricinfo.com/ci/content/player/625383.html
2022.0,1304069,MI v PBKS,MI,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",Pune,India,1,M Ashwin,Murugan Ashwin,4,0,34,1,8.50,7,2,2,0,0,False,https://www.espncricinfo.com/ci/content/player/528067.html
2022.0,1304069,MI v PBKS,MI,PBKS,MI,"Maharashtra Cricket Association Stadium, Pune",Pune,India,1,TS Mills,Tymal Mills,4,0,37,0,9.25,6,4,1,2,0,False,https://www.espncricinfo.com/ci/content/player/459257.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,VG Arora,Vaibhav Arora,4,0,43,1,10.75,9,2,4,2,0,False,https://www.espncricinfo.com/ci/content/player/1209292.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,K Rabada,Kagiso Rabada,4,0,29,2,7.25,15,3,2,0,0,False,https://www.espncricinfo.com/ci/content/player/550215.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,Arshdeep Singh,Arshdeep Singh,4,0,29,0,7.25,11,2,1,0,1,False,https://www.espncricinfo.com/ci/content/player/1125976.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,OF Smith,Odean Smith,3,0,30,4,10.00,9,1,3,2,0,False,https://www.espncricinfo.com/ci/content/player/820691.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,LS Livingstone,Liam Livingstone,1,0,11,0,11.00,1,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/403902.html
2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,2,RD Chahar,Rahul Chahar,4,0,44,0,11.00,6,2,4,0,0,False,https://www.espncricinfo.com/ci/content/player/1064812.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,Mohammed Siraj,Mohammed Siraj,4,0,37,0,9.25,11,4,2,0,1,False,https://www.espncricinfo.com/ci/content/player/940973.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,JR Hazlewood,Josh Hazlewood,4,0,33,1,8.25,12,1,3,1,0,False,https://www.espncricinfo.com/ci/content/player/288284.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,Akash Deep,Akash Deep,4,0,58,0,14.50,6,5,4,4,0,False,https://www.espncricinfo.com/ci/content/player/1176959.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,GJ Maxwell,Glenn Maxwell,3,0,29,0,9.66,9,0,4,0,0,False,https://www.espncricinfo.com/ci/content/player/325026.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,Shahbaz Ahmed,Shahbaz Ahmed,2,0,18,0,9.00,1,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1159711.html
2022.0,1304068,CSK v RCB,CSK,RCB,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,1,PWH de Silva,Wanindu Hasaranga de Silva,3,0,35,2,11.66,6,2,3,1,0,False,https://www.espncricinfo.com/ci/content/player/784379.html
2022.0,1304068,CSK v RCB,CSK,RCB,CSK,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,2,MM Ali,Moeen Ali,3,0,19,0,6.33,8,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/8917.html
2022.0,1304068,CSK v RCB,CSK,RCB,CSK,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,2,Mukesh Choudhary,Mukesh Choudhary,3,0,40,1,13.33,4,2,2,2,0,False,https://www.espncricinfo.com/ci/content/player/1125688.html
