comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
110,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,1,4,"Basil Thampi to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,4,1,732291,Basil Thampi,0.1,0,4,0,28235,Shikhar Dhawan,0,0,,,,,,,,,,,,,False,"super intent from PBKS. If there is width on the first, the first ball shall go. Cut away by Agarwal in front of backward point. Poor start from Thampi. Short and wide","<p>Ready to go. Basil Thampi has the new ball. One slip in place. Third man and fine leg back</p><p><strong>7.20pm</strong> Nandhana: ""M Ash is playing against his previous team too!""<br><br>""Please confirm - is Bairstow keeping or Jitesh keeping?"" Athu, it should be Jitesh. I have updated in the team list. Ten minutes to ball one.</p><p><strong>7.10pm</strong> So with PBKS batting first, the middle overs are going to be interesting. They are a side that love to keep scoring quickly through the middle overs after a quick start. And here's a <b>Maruti Suzuki ASKcricinfo stat: <a href=""https://www.espncricinfo.com/ask/cricket-qna/Which-team-has-the-worst-economy-rate-in-the-middle-overs-in-IPL-2022&tournament=ipl"">Which team has the poorest economy rate in the middle overs in IPL 2022</a>?</b><br><br><b>You can watch the match LIVE in the USA on ESPN+ <a href=""https://www.espn.com/watch/player/_/id/1686d06c-8d7b-476f-8435-47e1ef276eda/country/us/redirected/true#bucketId=23396"">in English</a> and <a href=""https://www.espn.com/watch/player/_/id/78ed8f3a-10f0-4e8f-9381-2788848798d8/country/us/redirected/true#bucketId=23396"">in Hindi</a>.</b></p><p><strong>7pm</strong> Mumbai Indians have won the toss, and will bowl first. Tymal Mills is back for Ramandeep.<br><br><b>Mumbai Indians</b> 1 Ishan Kishan (wk), 2 Rohit Sharma (capt.), 3 Dewald Brevis, 4 Suryakumar Yadav, 5 Tilak Varma, 6 Kieron Pollard, 7 Tymal Mills, 8 Jaydev Unadkat, 9 Murugan Ashwin, 10 Jasprit Bumrah, 11 Basil Thampi<br><br>Punjab Kings have retained the XI they played their last game with.<br><br><strong>Punjab Kings</strong> 1 Shikhar Dhawan, 2 Mayank Agarwal (capt.), 3 Jonny Bairstow, 4 Liam Livingstone, 5 Jitesh Sharma (wk), 6 Shahrukh Khan, 7 Odean Smith, 8 Kagiso Rabada, 9 Rahul Chahar, 10 Vaibhav Arora, 11 Arshdeep Singh</p><p> </p><p><strong>6.50pm</strong> One of the side plots for this match is Rahul Chahar coming up against his former team, Mumbai Indians, who are poorer for the loss. In an interview with Star Sports, he says it is no big deal coming up against them because he has played against his brother, Deepak Chahar, in the past; this is nothing in comparison. Ten minutes to the toss.</p><p><strong>6.45pm</strong> Fifteen minutes to go to the toss, and here are Gaurav Sundararaman and Shiva Jayaraman <a href=""https://www.espncricinfo.com/story/ipl-2022-can-rohit-sharma-the-india-t20i-batter-turn-up-for-mumbai-indians-please-1310437"">running their analytical lens</a> over Rohit Sharma's ordinary IPL numbers of late.<br><br><blockquote>Rohit has been way below par in the last few seasons in the IPL. The last time he averaged 30-plus in an IPL season was in 2016. Since then, Rohit has averaged below 30 - in the high twenties - every year. His strike rates in these five seasons have been ordinary too: he has struck at 130-plus only in one of them - in 2018. From the 2019 season, when he began opening for Mumbai Indians regularly, Rohit has averaged 27.9 and struck at 127.7. However, these numbers are not indicative of what he is capable of.</blockquote><br><br>M Saini: ""Loving this year's IPL...five teams at 6 points each and three teams at 4 points each, and two teams below 4 points are the ones expected to be at top of table. EXCITING.""<br><br>Will: ""In terms of bolstering the death overs bowling for PBKS, Sandeep Sharma has one of the best economy rates in that period against MI (for bowlers that have bowled at least 48 balls in that period), so Odean Jitesh -> Rajapaksa Sandeep is making more and more sense to me.""</p><p><strong>6.40pm</strong> Nagraj Gollapudi is at the ground in Pune. His scouting tells me Tymal Mills should be back. Tim David could be back too.<br><br>Pahul Gill: ""I am very interested to see how PBKS counter Bumrah this match. He is the only wicket taking threat in this MI bowling line-up. If they are smart, they should play him out and attack the other bowlers. You don't want another Rashid Khan situation. A lot of runs to be had targeting the likes of Sams/Allen, Unadkat, Thampi, Murugan, Mills/Meredith""<br><br></p><p><strong>6.30pm</strong> Game 23 of IPL 2022. It's the winless Mumbai Indians against the exciting Punjab Kings, who have been trying their best to counter the handicap of losing the toss by batting aggressively. Both these sides have been unlucky with the toss, having won just one each in four matches each. PBKS, though, have managed to put four points on the board. MI remain the only team with no win so far.<bR><br>Mumbai Indians will be looking forward to the return of Daniel Sams, who missed the last match with a stomach bug. PBKS have the Odean Smith question to ponder: he is an exciting talent for sure, but is he good enough to be bowling four overs regularly? Of course Liam Livingstone does help out with the ball too, but Arshdeep Singh needs support at the death. Remember Delhi Capitals didn't use to use Kagiso Rabada right at the end of the innings. In half an hour we will know how the teams think about these combinations.</p>",
120,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,2,0,"Basil Thampi to Agarwal, no run",False,False,False,398438,Mayank Agarwal,4,2,732291,Basil Thampi,0.2,0,4,0,28235,Shikhar Dhawan,0,0,,,,,,,,,,,,,False,"wide still but fuller, and Agarwal lets it go",,
130,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,3,4,"Basil Thampi to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,8,3,732291,Basil Thampi,0.3,0,8,0,28235,Shikhar Dhawan,0,0,,,,,,,,,,,,,False,"short and wide again. Okay not very short, but short enough for Agarwal to just use the pace of it with a late-cut even though he is on the move. Finds the gap between backward point and cover-point",,
140,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,4,1,"Basil Thampi to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,9,4,732291,Basil Thampi,0.4,0,9,0,28235,Shikhar Dhawan,0,0,,,,,,,,,,,,,False,"shortish, widish again, and this time it will be just the single to deep point","<p>Third man moves to deep point, backward point moves to short third man</p>",
150,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,5,0,"Basil Thampi to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,0,1,732291,Basil Thampi,0.5,0,9,0,398438,Mayank Agarwal,9,4,,,,,,,,,,,,,False,"better to the left-hand batter. On a length, shaping back in towards top of off. Defended with an open face",,
160,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,1,6,1,"Basil Thampi to Dhawan, 1 leg bye",False,False,False,28235,Shikhar Dhawan,0,2,732291,Basil Thampi,1.0,0,9,0,398438,Mayank Agarwal,9,4,,,,,,,,,,,,,False,off the thigh pad as he tucks him up. They get a leg-bye,,
11010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,1,6,"Unadkat to Dhawan, SIX",True,False,False,28235,Shikhar Dhawan,6,3,390484,Jaydev Unadkat,0.1,0,6,0,398438,Mayank Agarwal,9,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,"what a welcome to the bowling crease. Skips down the wicket, gets close to it, and extends his arms through it. Goes over mid-off for a flat six. Sensational caress",<p>Jaydev Unadkat to share the new ball</p>,
11020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,2,1,"Unadkat to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,7,4,390484,Jaydev Unadkat,0.2,0,7,0,398438,Mayank Agarwal,9,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,"yorker, on middle and leg, dug out for one to the leg side",,
11030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,3,0,"Unadkat to Agarwal, no run",False,False,False,398438,Mayank Agarwal,9,5,390484,Jaydev Unadkat,0.3,0,7,0,28235,Shikhar Dhawan,7,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,cramps him up with one short of a length and pretty straight. Agarwal can't do much with that,<p>No slip. Two men on the hook. No boundary rider on the off side</p>,
11040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,4,0,"Unadkat to Agarwal, no run",False,False,False,398438,Mayank Agarwal,9,6,390484,Jaydev Unadkat,0.4,0,7,0,28235,Shikhar Dhawan,7,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,good line again. At the hips. Unadkat knows he can't afford to give Agarwal any width with nobody outside the circle on the off side. Another dot,,
