,Name,runs,balls,fours,sixes,sr
0,Ruturaj Gaikwad,0.0,0.0,0.0,0.0,0.0
1,Faf du Plessis,162.0,129.0,17.0,6.0,125.5813953488372
2,Robin Uthappa,351.0,265.0,30.0,21.0,132.45283018867926
3,Moeen Ali,77.0,46.0,4.0,6.0,167.3913043478261
4,Shubman Gill,203.0,139.0,22.0,5.0,146.0431654676259
5,Venkatesh Iyer,0.0,0.0,0.0,0.0,0.0
6,Nitish Rana,304.0,232.0,26.0,14.0,131.0344827586207
7,Sunil Narine,357.0,188.0,40.0,23.0,189.89361702127658
8,Eoin Morgan,0.0,0.0,0.0,0.0,0.0
9,Dinesh Karthik,498.0,337.0,49.0,16.0,147.77448071216617
10,Shakib Al Hasan,239.0,197.0,26.0,5.0,121.31979695431473
11,Rahul Tripathi,226.0,167.0,18.0,8.0,135.32934131736528
12,Lockie Ferguson,0.0,0.0,0.0,0.0,0.0
13,Shivam Mavi,13.0,15.0,1.0,0.0,86.66666666666667
14,Varun Chakravarthy,0.0,0.0,0.0,0.0,0.0
15,Prithvi Shaw,245.0,160.0,27.0,10.0,153.125
16,Shikhar Dhawan,497.0,363.0,59.0,14.0,136.9146005509642
17,Marcus Stoinis,99.0,76.0,6.0,4.0,130.26315789473685
18,Shreyas Iyer,411.0,310.0,29.0,21.0,132.58064516129033
19,Rishabh Pant,684.0,394.0,68.0,37.0,173.60406091370558
20,Shimron Hetmyer,0.0,0.0,0.0,0.0,0.0
21,Axar Patel,80.0,69.0,3.0,4.0,115.94202898550725
22,Devdutt Padikkal,0.0,0.0,0.0,0.0,0.0
23,Virat Kohli,530.0,381.0,52.0,18.0,139.10761154855643
24,Srikar Bharat,0.0,0.0,0.0,0.0,0.0
25,Glenn Maxwell,169.0,120.0,14.0,9.0,140.83333333333334
26,AB de Villiers,480.0,275.0,39.0,30.0,174.54545454545453
27,Shahbaz Ahmed,0.0,0.0,0.0,0.0,0.0
28,Dan Christian,0.0,0.0,0.0,0.0,0.0
29,Harshal Patel,60.0,33.0,1.0,6.0,181.8181818181818
30,George Garton,0.0,0.0,0.0,0.0,0.0
